             t             r           psi            cs            qs                 p               sig             A             V            Q2             S
      0.000000      0.000000     -1.570796     -0.859448      0.000000        -17.916628         10.423332      0.000000      0.000000      0.179511      3.290247
      0.009804      0.032253     -1.543038     -0.864925      0.000000        -17.918696         10.384907      0.003269      0.000001      0.179511      3.290247
      0.019608      0.064481     -1.514936     -0.877373      0.000000        -17.929251         10.285069      0.013072      0.000012      0.179511      3.290247
      0.029412      0.096658     -1.486432     -0.889959      0.000000        -17.947803         10.187594      0.029403      0.000060      0.179511      3.290247
      0.039216      0.128757     -1.457514     -0.903142      0.000000        -17.975176         10.092309      0.052248      0.000189      0.179511      3.290247
      0.049020      0.160750     -1.428158     -0.917075      0.000000        -18.012294          9.999061      0.081589      0.000464      0.179511      3.290247
      0.058824      0.192607     -1.398339     -0.931891      0.000000        -18.060200          9.907712      0.117400      0.000964      0.179511      3.290247
      0.068627      0.224297     -1.368027     -0.947731      0.000000        -18.120082          9.818142      0.159652      0.001790      0.179511      3.290247
      0.078431      0.255789     -1.337184     -0.964749      0.000000        -18.193293          9.730254      0.208307      0.003060      0.179511      3.290247
      0.088235      0.287048     -1.305772     -0.983119      0.000000        -18.281377          9.643980      0.263322      0.004908      0.179511      3.290247
      0.098039      0.318039     -1.273742     -1.003034      0.000000        -18.386093          9.559278      0.324646      0.007488      0.179511      3.290247
      0.107843      0.348724     -1.241042     -1.024710      0.000000        -18.509443          9.476145      0.392221      0.010968      0.179511      3.290247
      0.117647      0.379064     -1.207612     -1.048387      0.000000        -18.653701          9.394622      0.465981      0.015533      0.179511      3.290247
      0.127451      0.409016     -1.173382     -1.074334      0.000000        -18.821440          9.314800      0.545851      0.021382      0.179511      3.290247
      0.137255      0.438535     -1.138274     -1.102842      0.000000        -19.015555          9.236833      0.631749      0.028729      0.179511      3.290247
      0.147059      0.467573     -1.102201     -1.134229      0.000000        -19.239279          9.160955      0.723582      0.037797      0.179511      3.290247
      0.156863      0.496077     -1.065065     -1.168831      0.000000        -19.496183          9.087489      0.821247      0.048820      0.179511      3.290247
      0.166667      0.523992     -1.026756     -1.206994      0.000000        -19.790148          9.016877      0.924630      0.062042      0.179511      3.290247
      0.176471      0.551256     -0.987154     -1.249055      0.000000        -20.125290          8.949701      1.033607      0.077707      0.179511      3.290247
      0.186275      0.577804     -0.946129     -1.295313      0.000000        -20.505816          8.886715      1.148038      0.096065      0.179511      3.290247
      0.196078      0.603563     -0.903540     -1.345982      0.000000        -20.935774          8.828885      1.267771      0.117361      0.179511      3.290247
      0.205882      0.628454     -0.859245     -1.401122      0.000000        -21.418633          8.777431      1.392638      0.141833      0.179511      3.290247
      0.215686      0.652393     -0.813101     -1.460537      0.000000        -21.956658          8.733878      1.522455      0.169705      0.179511      3.290247
      0.225490      0.675287     -0.764979     -1.523638      0.000000        -22.549969          8.700105      1.657020      0.201180      0.179511      3.290247
      0.235294      0.697037     -0.714777     -1.589258      0.000000        -23.195245          8.678393      1.796110      0.236431      0.179511      3.290247
      0.245098      0.717537     -0.662443     -1.655440      0.000000        -23.884030          8.671456      1.939484      0.275587      0.179511      3.290247
      0.254902      0.736679     -0.608002     -1.719211      0.000000        -24.600710          8.682437      2.086878      0.318726      0.179511      3.290247
      0.264706      0.754354     -0.551598     -1.776408      0.000000        -25.320449          8.714847      2.238004      0.365859      0.179511      3.290247
      0.274510      0.770455     -0.493526     -1.821660      0.000000        -26.007653          8.772411      2.392554      0.416918      0.179511      3.290247
      0.284314      0.784888     -0.434271     -1.848652      0.000000        -26.615895          8.858803      2.550200      0.471745      0.179511      3.290247
      0.294118      0.797578     -0.374528     -1.850802      0.000000        -27.090470          8.977236      2.710596      0.530089      0.179511      3.290247
      0.303922      0.808479     -0.315197     -1.822352      0.000000        -27.374436          9.129964      2.873384      0.591610      0.179511      3.290247
      0.313725      0.817581     -0.257329     -1.759711      0.000000        -27.418012          9.317748      3.038198      0.655892      0.179511      3.290247
      0.323529      0.824916     -0.202042     -1.662629      0.000000        -27.189448          9.539438      3.204677      0.722466      0.179511      3.290247
      0.333333      0.830560     -0.150398     -1.534713      0.000000        -26.683954          9.791814      3.372470      0.790843      0.179511      3.290247
      0.343137      0.834627     -0.103287     -1.382995      0.000000        -25.927137         10.069771      3.541244      0.860547      0.179511      3.290247
      0.352941      0.837264     -0.061332     -1.216639      0.000000        -24.971240         10.366849      3.710695      0.931141      0.179511      3.290247
      0.362745      0.838639     -0.024849     -1.045274      0.000000        -23.885478         10.675962      3.880550      1.002246      0.179511      3.290247
      0.372549      0.838926      0.006143     -0.877510      0.000000        -22.743982         10.990152      4.050570      1.073552      0.179511      3.290247
