             t             r           psi            cs            qs                 p               sig             A             V            Q2             S
      0.000000      0.000000     -1.570796      0.686108      0.000000        -17.809281         12.978474      0.000000      0.000000     -0.347211      7.038782
      0.009804      0.068982     -1.523054      0.701653      0.000000        -17.822279         12.789707      0.014958      0.000012     -0.347211      7.038782
      0.019608      0.137803     -1.473889      0.723671      0.000000        -17.869632         12.533017      0.059796      0.000198     -0.347211      7.038782
      0.029412      0.206289     -1.423108      0.748662      0.000000        -17.959047         12.283959      0.134408      0.001012     -0.347211      7.038782
      0.039216      0.274248     -1.370464      0.777914      0.000000        -18.102413         12.040070      0.238609      0.003223     -0.347211      7.038782
      0.049020      0.341469     -1.315608      0.813110      0.000000        -18.316319         11.799081      0.372123      0.007918     -0.347211      7.038782
      0.058824      0.407708     -1.258052      0.856607      0.000000        -18.624322         11.558991      0.534580      0.016508     -0.347211      7.038782
      0.068627      0.472689     -1.197116      0.911777      0.000000        -19.060417         11.318205      0.725496      0.030723     -0.347211      7.038782
      0.078431      0.536078     -1.131833      0.983541      0.000000        -19.674419         11.075830      0.944255      0.052607     -0.347211      7.038782
      0.088235      0.597467     -1.060826      1.079168      0.000000        -20.540207         10.832281      1.190081      0.084514     -0.347211      7.038782
      0.098039      0.656333     -0.982100      1.209351      0.000000        -21.767543         10.590519      1.462000      0.129089     -0.347211      7.038782
      0.107843      0.711980     -0.892779      1.389146      0.000000        -23.515534         10.358629      1.758774      0.189228     -0.347211      7.038782
      0.117647      0.763445     -0.788818      1.636541      0.000000        -25.992804         10.155132      2.078810      0.267970     -0.347211      7.038782
      0.127451      0.809375     -0.665118      1.960334      0.000000        -29.381616         10.019321      2.420018      0.368190     -0.347211      7.038782
      0.137255      0.847924     -0.517423      2.315668      0.000000        -33.498377         10.027540      2.779616      0.491826     -0.347211      7.038782
      0.147059      0.876931     -0.348925      2.517147      0.000000        -36.967732         10.300943      3.153936      0.638302     -0.347211      7.038782
      0.156863      0.894872     -0.180554      2.270932      0.000000        -36.901966         10.949341      3.538458      0.802764     -0.347211      7.038782
      0.166667      0.902401     -0.046466      1.565817      0.000000        -31.888040         11.930683      3.928429      0.976960     -0.347211      7.038782
      0.176471      0.902518      0.034113      0.791736      0.000000        -24.749505         13.032214      4.319925      1.153657     -0.347211      7.038782
      0.186275      0.898774      0.068069      0.236460      0.000000        -18.931899         14.059975      4.710518      1.329320     -0.347211      7.038782
      0.196078      0.893808      0.072388     -0.076231      0.000000        -15.535674         14.943216      5.099149      1.503037     -0.347211      7.038782
      0.205882      0.889138      0.061463     -0.218260      0.000000        -14.189863         15.691520      5.485654      1.674908     -0.347211      7.038782
      0.215686      0.885464      0.044613     -0.257397      0.000000        -14.228893         16.339447      5.870334      1.845309     -0.347211      7.038782
      0.225490      0.882993      0.027238     -0.239475      0.000000        -15.104593         16.921705      6.253682      2.014663     -0.347211      7.038782
      0.235294      0.881651      0.012202     -0.193368      0.000000        -16.432155         17.466446      6.636208      2.183368     -0.347211      7.038782
      0.245098      0.881225      0.000777     -0.137211      0.000000        -17.951087         17.994776      7.018361      2.351773     -0.347211      7.038782
      0.254902      0.881454     -0.006769     -0.082374      0.000000        -19.486473         18.521679      7.400480      2.520152     -0.347211      7.038782
      0.264706      0.882078     -0.010781     -0.035619      0.000000        -20.924610         19.056993      7.782793      2.688696     -0.347211      7.038782
      0.274510      0.882876     -0.011950     -0.000311      0.000000        -22.199557         19.606238      8.165421      2.857514     -0.347211      7.038782
      0.284314      0.883681     -0.011106      0.022784      0.000000        -23.284759         20.171402      8.548402      3.026643     -0.347211      7.038782
      0.294118      0.884381     -0.009062      0.034770      0.000000        -24.185329         20.751780      8.931712      3.196065     -0.347211      7.038782
      0.303922      0.884920     -0.006511      0.037894      0.000000        -24.929030         21.344885      9.315293      3.365730     -0.347211      7.038782
      0.313725      0.885280     -0.003973      0.034858      0.000000        -25.556236         21.947326      9.699068      3.535570     -0.347211      7.038782
      0.323529      0.885476     -0.001782      0.028272      0.000000        -26.110460         22.555568     10.082963      3.705518     -0.347211      7.038782
      0.333333      0.885538     -0.000103      0.020295      0.000000        -26.631054         23.166471     10.466912      3.875515     -0.347211      7.038782
      0.343137      0.885503      0.001024      0.012484      0.000000        -27.148885         23.777593     10.850866      4.045515     -0.347211      7.038782
      0.352941      0.885408      0.001646      0.005796      0.000000        -27.684847         24.387281     11.234790      4.215490     -0.347211      7.038782
      0.362745      0.885285      0.001860      0.000684      0.000000        -28.250452         24.994622     11.618667      4.385422     -0.347211      7.038782
      0.372549      0.885159      0.001779     -0.002771      0.000000        -28.849604         25.599299     12.002488      4.555305     -0.347211      7.038782
      0.382353      0.885044      0.001512     -0.004726      0.000000        -29.480780         26.201427     12.386257      4.725142     -0.347211      7.038782
      0.392157      0.884952      0.001154     -0.005468      0.000000        -30.139120         26.801386     12.769980      4.894938     -0.347211      7.038782
      0.401961      0.884885      0.000778     -0.005326      0.000000        -30.818176         27.399688     13.153669      5.064705     -0.347211      7.038782
      0.411765      0.884844      0.000432     -0.004617      0.000000        -31.511207         27.996871     13.537335      5.234450     -0.347211      7.038782
      0.421569      0.884824      0.000147     -0.003614      0.000000        -32.212054         28.593428     13.920988      5.404185     -0.347211      7.038782
      0.431373      0.884822     -0.000064     -0.002528      0.000000        -32.915640         29.189764     14.304636      5.573915     -0.347211      7.038782
      0.441176      0.884831     -0.000203     -0.001508      0.000000        -33.618187         29.786184     14.688286      5.743646     -0.347211      7.038782
      0.450980      0.884848     -0.000276     -0.000646      0.000000        -34.317207         30.382887     15.071941      5.913383     -0.347211      7.038782
      0.460784      0.884868     -0.000297      0.000017      0.000000        -35.011370         30.979979     15.455605      6.083127     -0.347211      7.038782
      0.470588      0.884888     -0.000279      0.000475      0.000000        -35.700285         31.577492     15.839278      6.252879     -0.347211      7.038782
      0.480392      0.884906     -0.000236      0.000746      0.000000        -36.384248         32.175402     16.222959      6.422638     -0.347211      7.038782
      0.490196      0.884921     -0.000179      0.000864      0.000000        -37.064012         32.773648     16.606646      6.592403     -0.347211      7.038782
      0.500000      0.884931     -0.000119      0.000868      0.000000        -37.740569         33.372150     16.990340      6.762173     -0.347211      7.038782
      0.509804      0.884937     -0.000061      0.000799      0.000000        -38.414990         33.970824     17.374037      6.931947     -0.347211      7.038782
      0.519608      0.884939     -0.000009      0.000693      0.000000        -39.088306         34.569586     17.757735      7.101722     -0.347211      7.038782
      0.529412      0.884939      0.000034      0.000581      0.000000        -39.761442         35.168362     18.141434      7.271497     -0.347211      7.038782
      0.539216      0.884935      0.000071      0.000487      0.000000        -40.435185         35.767090     18.525132      7.441271     -0.347211      7.038782
      0.549020      0.884929      0.000103      0.000431      0.000000        -41.110197         36.365716     18.908828      7.611043     -0.347211      7.038782
      0.558824      0.884921      0.000132      0.000429      0.000000        -41.787046         36.964196     19.292521      7.780813     -0.347211      7.038782
      0.568627      0.884911      0.000163      0.000492      0.000000        -42.466262         37.562485     19.676210      7.950579     -0.347211      7.038782
      0.578431      0.884898      0.000202      0.000634      0.000000        -43.148415         38.160540     20.059894      8.120341     -0.347211      7.038782
      0.588235      0.884882      0.000253      0.000869      0.000000        -43.834198         38.758304     20.443571      8.290097     -0.347211      7.038782
      0.598039      0.884863      0.000324      0.001218      0.000000        -44.524536         39.355703     20.827242      8.459847     -0.347211      7.038782
      0.607843      0.884837      0.000424      0.001707      0.000000        -45.220711         39.952634     21.210902      8.629588     -0.347211      7.038782
      0.617647      0.884803      0.000564      0.002375      0.000000        -45.924517         40.548952     21.594550      8.799318     -0.347211      7.038782
      0.627451      0.884758      0.000757      0.003277      0.000000        -46.638448         41.144459     21.978180      8.969033     -0.347211      7.038782
      0.637255      0.884697      0.001023      0.004486      0.000000        -47.365947         41.738874     22.361788      9.138727     -0.347211      7.038782
      0.647059      0.884615      0.001386      0.006103      0.000000        -48.111715         42.331820     22.745365      9.308394     -0.347211      7.038782
      0.656863      0.884503      0.001878      0.008262      0.000000        -48.882114         42.922780     23.128900      9.478024     -0.347211      7.038782
      0.666667      0.884351      0.002543      0.011141      0.000000        -49.685687         43.511058     23.512379      9.647604     -0.347211      7.038782
      0.676471      0.884147      0.003437      0.014975      0.000000        -50.533806         44.095722     23.895781      9.817115     -0.347211      7.038782
      0.686275      0.883870      0.004638      0.020070      0.000000        -51.441481         44.675531     24.279079      9.986535     -0.347211      7.038782
      0.696078      0.883497      0.006246      0.026823      0.000000        -52.428320         45.248845     24.662238     10.155830     -0.347211      7.038782
      0.705882      0.882996      0.008390      0.035737      0.000000        -53.519621         45.813513     25.045208     10.324956     -0.347211      7.038782
      0.715686      0.882323      0.011242      0.047449      0.000000        -54.747497         46.366741     25.427926     10.493856     -0.347211      7.038782
